Feature,Coefficient
OverTime,1.438848163688547
MaritalStatus,0.44615982510214636
Department,0.2713319379673281
Gender,0.23006813363880008
YearsSinceLastPromotion,0.16357241260468094
NumCompaniesWorked,0.15050499828969444
YearsAtCompany,0.09731257085359529
Education,0.06210596659761488
EducationField,0.04882379073553488
PerformanceRating,0.0447526404797122
DistanceFromHome,0.02918569638698192
StandardHours,0.027105102878157185
JobRole,0.002916808274576114
HourlyRate,0.0003527713471742016
EmployeeCount,0.0003388137859824756
MonthlyRate,5.880668953629513e-06
Over18,0.0
EmployeeNumber,-4.776296494873445e-05
MonthlyIncome,-6.462257609637818e-05
DailyRate,-0.000214239044773048
BusinessTravel,-0.00983858541956617
Age,-0.01911020271501622
PercentSalaryHike,-0.03595920568546756
TotalWorkingYears,-0.05967883965259274
TrainingTimesLastYear,-0.061365797642660196
RelationshipSatisfaction,-0.09890570847293745
JobLevel,-0.10216211144855827
YearsWithCurrManager,-0.12591915436690912
YearsInCurrentRole,-0.19671323211371253
StockOptionLevel,-0.19711260217831195
EnvironmentSatisfaction,-0.2254002532543754
JobSatisfaction,-0.25332044252421554
WorkLifeBalance,-0.28910487033706544
JobInvolvement,-0.4415964458913014
